"","seqOrSplice","spliceRule","spliceTaxa"
"Malus_pumila","seq","",""
"Picea_abies","seq","",""
"Picea_NA","** SPLICE **","genus",""
"Pinus_resinosa","seq","",""
"Pinus_NA","** SPLICE **","genus",""
"Populus_alba","seq","",""
"Populus_grandidentata","seq","",""
"Quercus_ellipsoidalis","** SPLICE **","genus",""
"Quercus_palustris","seq","",""
"Quercus_velutina","seq","",""
"Salix_amygdaloides","seq","",""
"Salix_nigra","** SPLICE **","genus",""
"Salix_NA","** SPLICE **","genus",""
"Convolvulus_arvensis","seq","",""
"Aster_NA","** SPLICE **","genus",""
"Sonchus_asper","seq","",""
"Hystrix_patula","** SPLICE **","genus",""
"Festuca_arundinacea","seq","",""
"Salix_interior","seq","",""
"Typha_angustifolia","seq","",""
"Rhus_typhina","seq","",""
"Potentilla_norvegica","seq","",""
"Allium_stellatum","seq","",""
"Nonea_NA","** SPLICE **","genus",""
"Euonymus_atropurpureus","** SPLICE **","genus",""
"Lonicera_prolifera","** SPLICE **","genus",""
"Physalis_virginiana","seq","",""
"Scrophularia_NA","** SPLICE **","genus",""
"Carex_gravida","seq","",""
"Moehringia_lateriflora","** SPLICE **","genus",""
"Polypodium_virginianum","seq","",""
"Carex_sparganioides","seq","",""
"Anemone_NA","** SPLICE **","genus",""
"Osmunda_claytoniana","seq","",""
"Ranunculus_pensylvanicus","seq","",""
"Asclepias_meadii","** SPLICE **","genus",""
"Viburnum_recognitum","** SPLICE **","genus",""
"Euthamia_caroliniana","seq","",""
"Scirpus_NA","** SPLICE **","genus",""
"Tragopogon_dubius","seq","",""
"Galium_asprellum","** SPLICE **","genus",""
"Sedum_NA","** SPLICE **","genus",""
"Desmodium_NA","** SPLICE **","genus",""
"Euthamia_graminifolia","seq","",""
"Grias_NA","** SPLICE **","genus",""
"Solanum_NA","** SPLICE **","genus",""
"Bidens_cernua","seq","",""
"Uvularia_sessilifolia","seq","",""
"Aquilegia_canadensis","seq","",""
"Persicaria_lapathifolia","seq","",""
"Physalis_NA","** SPLICE **","genus",""
"Asclepias_verticillata","** SPLICE **","genus",""
"Galium_obtusum","seq","",""
"Viburnum_rafinesquianum","seq","",""
"Asimina_NA","** SPLICE **","genus",""
"Rhamnus_NA","** SPLICE **","genus",""
"Anemone_caroliniana","seq","",""
"Osmorhiza_longistylis","seq","",""
"Aruncus_dioicus","** SPLICE **","genus",""
"Brassicaceae_NA","** SPLICE **","???",""
