Raw_name,Cleaned_name_from_TNRS,2007_total_plots,2018_total_plots
Prunus sp.,Prunus,0,2
Prunus species,Prunus,3,0
Prunus virginiana,Prunus virginiana,30,19
Pseudotsuga menziesii,Pseudotsuga menziesii,1,0
Ptelea trifoliata,Ptelea trifoliata,1,2
Pyrus calleryana,Pyrus calleryana,0,1
Quercus alba,Quercus alba,131,42
Quercus bicolor,Quercus bicolor,4,0
Quercus coccinea,Quercus coccinea,1,0
Quercus ellipsoidalis,Quercus ellipsoidalis,0,2
Quercus macrocarpa,Quercus macrocarpa,71,14
Quercus palustris,Quercus palustris,4,1
Quercus rubra,Quercus rubra,132,37
Quercus sp.,Quercus,0,4
Quercus species,Quercus,7,0
Quercus velutina,Quercus velutina,0,1
Ranunculus abortivus,Ranunculus abortivus,4,12
Ranunculus hispidus,Ranunculus hispidus,8,29
Ranunculus pensylvanicus,Ranunculus pensylvanicus,1,0
Ranunculus recurvatus,Ranunculus recurvatus,0,1
Ranunculus sp.,Ranunculus,0,1
Ranunculus species,Ranunculus,3,0
Ratibida pinnata,Ratibida pinnata,1,0
Rhamnus carthartica,Rhamnus cathartica,1,0
Rhamnus cathartica,Rhamnus cathartica,160,56
Rhamnus frangula,Frangula alnus,5,1
Rhamnus species,Rhamnus,3,0
Rhus glabra,Rhus glabra,2,1
Rhus radicans,Toxicodendron radicans,83,0
Rhus typhina,Rhus typhina,2,0
Ribes americanum,Ribes americanum,0,2
Ribes cynosbati,Ribes cynosbati,0,1
Ribes missouriense,Ribes missouriense,13,4
Ribes sp.,Ribes,0,4
Ribes species,Ribes,9,0
Robinia pseudoacacia,Robinia pseudoacacia,3,7
Robinia pseudocacia,Robinia pseudoacacia,1,0
Rosa carolina,Rosa carolina,0,3
Rosa multiflora,Rosa multiflora,38,13
Rosa sp.,Rosa,0,3
Rosa species,Rosa,2,0
rttf,Ruta,1,0
Rubus allegheniensis,Rubus allegheniensis,21,17
Rubus idaeus strigosus,Rubus idaeus subsp. strigosus,2,0
Rubus occidentalis,Rubus occidentalis,25,24
Rubus sp.,Rubus,0,10
Rubus species,Rubus,1,0
