Plot ID Number,6-Letter Code,Species Name,Alive # of Stems,Dead # of Stems,Native / Alien,"Type
Shrub (S)
Understory Tree (UT)
Tree Sapling (TS)",,,
HH-115,RHACAT,Rhamnus cathartica,1,,Alien,UT,,,
HH-115,TILAME,Tilia americana,1,,Native,TS,,,
HH-115,VIBOPU,Viburnum opulus,1,,Alien,S,,,
HH-116,PRUSER,Prunus serotina,1,,Native,TS,,,
HH-116,PRUVIR,Prunus virginiana,1,,Native,S,,,
HH-116,VIBOPU,Viburnum opulus,3,,Alien,S,,,
HH-126,LONMAA,Lonicera maackii,1,,Alien,S,,,
HH-126,RHACAT,Rhamnus cathartica,1,,Alien,UT,,,
HH-126,ROSMUL,Rosa multiflora,12,,Alien,S,,,
HH-130,NONE,NONE,-,-,-,-,,,
HH-139,LONMAA,Lonicera maackii,8,,Alien,S,,,
HH-147,ACENIG,Acer nigrum,1,,Native,TS,,,
HH-147,LONMAA,Lonicera maackii,3,,Alien,S,,,
HH-147,RHACAT,Rhamnus cathartica,14,1,Alien,UT,,,
HH-79,VIBREC,Viburnum recognitum,1,,Alien,S,,,
HH-85,TILAME,Tilia americana,2,,Native,TS,,,
HH-85,VITRIP,Vitis riparia,1,,Native,S,,,
HH-87,NONE,NONE,-,-,-,-,,,
HH-90,NONE,NONE,-,-,-,-,,,
HH-93,NONE,NONE,-,-,-,-,,,
HH-96,NONE,NONE,-,-,-,-,,,
I-107,ACENIG,Acer nigrum,2,,Native,TS,,,
I-107,ULMAME,Ulmus americana,1,,Native,TS,,,
I-116,OSTVIR,Ostrya virginiana,1,,Native,UT,,,
I-117,NONE,NONE,-,-,-,-,,,
I-124,NONE,NONE,-,-,-,-,,,
I-133,ACENIG,Acer nigrum,1,,Native,TS,,,
I-138,NONE,NONE,-,-,-,-,,,
II-105,UNIDENTIFIED SP,Unidentified species,,1,-,-,,,
HH-106,NONE,NONE,-,-,-,-,,,
II-118,OSTVIR,Ostrya virginiana,1,,Native,UT,,,
II-118,ULMAME,Ulmus americana,1,,Native,TS,,,
II-122,LONMAA,Lonicera maackii,1,,Alien,S,,,
II-122,ULMRUB,Ulmus rubra,1,,Native,TS,,,
II-122,VIBOPU,Viburnum opulus,1,,Alien,S,,,
II-130,LONMAA,Lonicera maackii,3,,Alien,S,,,
II-130,RHACAT,Rhamnus cathartica,11,,Alien,UT,,,
II-130,VIBURNUM SP,Viburnum species,4,1,-,S,,,
II-131,LONMAA,Lonicera maackii,3,,Alien,S,,,
II-131,RHACAT,Rhamnus cathartica,4,,Alien,UT,,,
II-131,VIBREC,Viburnum recognitum,2,,Alien,S,,,
II-136,ACENIG,Acer nigrum,1,,Native,TS,,,
II-142,LONMAA,Lonicera maackii,4,,Alien,S,,,
II-142,VIBREC,Viburnum recognitum,6,,Alien,S,,,
II-81,MORALB,Morus alba,2,,Alien,TS,,,
II-87,ACENIG,Acer nigrum,2,,Native,TS,,,
II-90,ACENIG,Acer nigrum,2,,Native,TS,,,
J-110,ACENIG,Acer nigrum,1,,Native,TS,,,
J-110,PRUVIR,Prunus virginiana,,7,Native,S,,,
J-121,NONE,NONE,-,-,-,-,,,
J-133,ACENIG,Acer nigrum,1,,Native,TS,,,
J-135,ACENIG,Acer nigrum,,1,Native,TS,,,
JJ-102,RUBOCC,Rubus occidentalis ,10,,Native,S,,,
JJ-111,NONE,NONE,-,-,-,-,,,
JJ-114,EUOALA,Euonymus alatus ,2,,Alien,S,,,
JJ-114,ULMAME,Ulmus americana ,1,,Native,TS,,,
JJ-115,CARCOR,Carya cordiformis ,1,,Native,TS,,,
JJ-115,CRATAEGUS SP,Crataegus species,2,,-,UT,,,
JJ-115,RHACAT,Rhamnus cathartica ,2,,Alien,UT,,,
JJ-115,RIBES SP,Ribes species,,2,-,S,,,
JJ-115,VIBURNUM SP,Viburnum species,6,,-,S,,,
JJ-121,NONE,NONE,-,-,-,-,,,
JJ-129,RHACAT,Rhamnus cathartica,1,,Alien,UT,,,
JJ-140,QUERUB,Quercus rubra,1,,Native,TS,,,
JJ-140,ULMRUB,Ulmus rubra,1,,Native,TS,,,
JJ-140,UNIDENTIFIED SP,Unidentified species,,1,-,-,,,
